layer_index,layer_name,cosine_anisotropy,isoscore,rogue_ratio,id_score,spearman_correlation
0,0 (Embed),0.6788836885178429,0.0,1.0,219726.5625,nan
1,1,0.938396408058155,0.0,1.0,219726.5625,nan
2,2,0.9407567400643682,0.0,1.0,219726.5625,nan
3,3,0.9405996628914433,0.0,1.0,219726.5625,nan
4,4,0.9141994865612127,0.0,1.0,219726.5625,nan
5,5,0.9192431308198655,0.0,1.0,219726.5625,nan
6,6,0.888842316971474,0.0,1.0,219726.5625,nan
7,7,0.9998673133220358,0.0,1.0,219726.5625,nan
8,8,0.9998472165083396,6.940588383493042e-18,1.0,219726.5625,nan
9,9,0.9998265233500234,6.940588383493042e-18,1.0,219726.5625,nan
10,10,0.999831830817142,0.0,1.0,219726.5625,nan
11,11,0.9998311748380599,0.0,1.0,219726.5625,nan
12,12,0.9998236608958471,0.0,1.0,219726.5625,nan
13,13,0.9998027888341449,0.0,1.0,219726.5625,nan
14,14,0.9997917564586737,6.940588383493042e-18,1.0,219726.5625,nan
15,15,0.9997882380254153,0.0,1.0,219726.5625,nan
16,16,0.9997709440314334,0.0,1.0,219726.5625,nan
17,17,0.9997863893570931,6.940588383493042e-18,1.0,219726.5625,nan
18,18,0.9997727330652937,0.0,1.0,219726.5625,nan
19,19,0.9997652787575428,0.0,1.0,219726.5625,nan
20,20,0.9997344477406855,0.0,1.0,219726.5625,nan
21,21,0.9997024240345881,0.0,1.0,219726.5625,nan
22,22,0.9996398674839434,0.0,1.0,219726.5625,nan
23,23,0.9995273968885994,6.940588383493042e-18,1.0,219726.5625,nan
24,24,0.9992842671869993,6.940588383493042e-18,1.0,219726.5625,nan
25,25,0.9988377243354953,6.940588383493042e-18,1.0,219726.5625,nan
26,26,0.9983337534970793,0.0,1.0,219726.5625,nan
27,27,0.9978758800977943,0.0,1.0,219726.5625,nan
28,28,0.9972515669150493,0.0,1.0,219726.5625,nan
29,29,0.9963393981841995,0.0,1.0,219726.5625,nan
30,30,0.9957624347642876,0.0,1.0,219726.5625,nan
31,31,0.9950780696783023,0.0,1.0,219726.5625,nan
32,32,0.9944139206749371,0.0,1.0,219726.5625,nan
33,33,0.9936336037395834,0.0,1.0,219726.5625,nan
34,34,0.9925351965838877,6.940588383493042e-18,1.0,219726.5625,nan
35,35,0.9874130137387724,0.0,1.0,219726.5625,nan
36,36,0.8554042007041729,0.0,1.0,219726.5625,nan
