layer_index,layer_name,cosine_anisotropy,isoscore,rogue_ratio,id_score,spearman_correlation
0,0 (Embed),0.8522301564638826,2.866025539449557e-17,1.0,1171875.0,nan
1,1,0.9964639149408688,2.866025539449557e-17,1.0,1171875.0,nan
2,2,0.9966483046973926,2.866025539449557e-17,1.0,1171875.0,nan
3,3,0.9918788596950453,2.866025539449557e-17,1.0,1171875.0,nan
4,4,0.9893191100478829,2.866025539449557e-17,1.0,1171875.0,nan
5,5,0.9859039636777006,2.866025539449557e-17,1.0,1171875.0,nan
6,6,0.9898122870486757,2.866025539449557e-17,1.0,1171875.0,nan
7,7,0.9549914861452943,2.866025539449557e-17,1.0,1171875.0,nan
8,8,0.9910892397836186,2.866025539449557e-17,1.0,1171875.0,nan
9,9,0.990981480310773,2.866025539449557e-17,1.0,1171875.0,nan
10,10,0.9918321062768323,2.866025539449557e-17,1.0,1171875.0,nan
11,11,0.9818416641258251,2.866025539449557e-17,1.0,1171875.0,nan
12,12,0.9605989146077555,2.866025539449557e-17,1.0,1171875.0,nan
13,13,0.9866620965931879,2.866025539449557e-17,1.0,1171875.0,nan
14,14,0.9847289262383266,2.866025539449557e-17,1.0,1171875.0,nan
15,15,0.9910999739867797,2.866025539449557e-17,1.0,1171875.0,nan
16,16,0.9918147526483884,2.866025539449557e-17,1.0,1171875.0,nan
17,17,0.9828070267967847,2.866025539449557e-17,1.0,1171875.0,nan
18,18,0.9773320464744396,2.866025539449557e-17,1.0,1171875.0,nan
19,19,0.9861109548953249,2.866025539449557e-17,1.0,1171875.0,nan
20,20,0.9823883928734998,2.866025539449557e-17,1.0,1171875.0,nan
21,21,0.9860135718188684,2.866025539449557e-17,1.0,1171875.0,nan
22,22,0.9907486673711001,2.866025539449557e-17,1.0,1171875.0,nan
23,23,0.996035500965815,2.866025539449557e-17,1.0,1171875.0,nan
24,24,0.8859232100562611,2.866025539449557e-17,1.0,1171875.0,nan
