layer_index,layer_name,isoscore,avg_cosine_similarity,id_score,mev
0,0 (Embed),0.0514193875557445,0.5486255382738516,0.04780286650272999,0.11606305411611617
1,1,0.06121416710793685,0.17159111873720012,0.04218931111826804,0.08471876702078089
2,2,0.05169166378868303,0.11771986043498861,0.04091909204134884,0.10118406576821526
3,3,1.963098238169758e-06,0.00025368891964439033,0.02142794288439032,0.9989973764546962
4,4,3.008447349047031e-06,0.0003957717450471243,0.02229667051825902,0.9984647012117731
5,5,3.7839733575716985e-06,0.0005045174526213669,0.022848155597145762,0.9980700644700461
6,6,6.186816773162864e-06,0.0007793215846656487,0.02352225615773503,0.9968502895429562
7,7,8.603097624049487e-06,0.0010497675782055182,0.022639135936942466,0.9956281703423361
8,8,1.114030478962762e-05,0.0013386068085328162,0.022975110772421814,0.9943496666148799
9,9,1.30480513087247e-05,0.0016004184621699613,0.02227508818501531,0.9933915162031188
10,10,1.750921468790805e-05,0.002118400580654267,0.021008651817118414,0.991161601047809
11,11,2.7406386815813814e-05,0.0030755909621176247,0.021378059686984283,0.9862673816661784
12,12,3.698249630201692e-05,0.0038525486384530794,0.022271990980718876,0.9815998920752596
13,13,3.907707911432663e-05,0.004050030485546086,0.022422202437711206,0.9805875504436767
14,14,4.096730297265873e-05,0.004232469357512758,0.02309799875806509,0.9796768886805006
15,15,4.42975367228199e-05,0.004496139411447109,0.02297478557176595,0.9780780614866109
16,16,5.8673641069684485e-05,0.005621576356821034,0.022903780393959905,0.9712650391436356
17,17,9.037471489976538e-05,0.007926510203657089,0.025044395566898612,0.956728517557595
18,18,0.0001356062576246213,0.010476707897878912,0.02470828181746326,0.937063218983019
19,19,0.0002154948697287107,0.014920487083819656,0.023573886848813053,0.9050683915121001
20,20,0.0003660772747114605,0.021740363010641084,0.02501146021747884,0.8526660865794589
21,21,0.0008043624487599269,0.03496951367501211,0.024215590494475397,0.7397429911876977
22,22,0.001285506132699453,0.04114669035969609,0.02391305351298463,0.6557121030781377
23,23,0.0017852264804533097,0.04343835365043014,0.02390343006630374,0.5926552355411985
24,24,0.0023834246878813936,0.04613491809467707,0.024015888683204048,0.5362881026365379
25,25,0.0029568750700851567,0.04648558880355491,0.02470057994289732,0.4948475781108769
26,26,0.0038682377505054443,0.04583578014658285,0.025701186757190794,0.44485157063504366
27,27,0.00456833954785151,0.03779010843588526,0.025718397043206106,0.4145351044521576
28,28,0.0631220113758965,0.4620110295312063,0.025207753445501753,0.0841673941920263
