layer_index,layer_name,isoscore,avg_cosine_similarity,id_score,mev
0,0 (Embed),0.05807620148521344,0.22615146221556814,0.05749456270131775,0.10587523545967696
1,1,0.0036175518918586734,0.026601465006139025,0.025093681342924144,0.4935649999533911
2,2,0.004596751613052144,0.009888602055839524,0.025509805817772176,0.44699465067916644
3,3,0.008323138698347414,0.02031205258708635,0.024733773832414596,0.2585278266067725
4,4,0.005930083107525269,0.04714204362888541,0.024586649093954475,0.3799758342520083
5,5,0.009418255055318923,0.08084498283594466,0.026471999404935106,0.2630632844010595
6,6,0.009132127084714045,0.03832417849025116,0.027706868058918296,0.2810629334836954
7,7,0.022041070287469017,0.10513078733020131,0.03145223817594289,0.18183946225469905
8,8,0.016752084483595362,0.0320809971272672,0.030318034458958917,0.21007511885417707
9,9,0.011413252277044282,0.02539031423071947,0.03142798209621075,0.2957734595876182
10,10,0.020856673271486457,0.03138531439395931,0.0329850763980659,0.20487386746760602
11,11,0.03326477609676528,0.0715842874695326,0.032387715861067104,0.15383812878372694
12,12,0.03891982270888597,0.05184691520861895,0.04205482099296212,0.15461302023892323
13,13,0.02315009475813798,0.03953575594785008,0.041221368469184665,0.2138596794802878
14,14,0.02667908718379217,0.053984619230880604,0.041451655449625015,0.19810387340616967
15,15,0.013387504684953434,0.03956059743014084,0.040829121985626736,0.28780770333660755
16,16,0.013405547419898665,0.033841901161440036,0.04074964195804831,0.28756202594578445
17,17,0.025546961802062666,0.05620070028200941,0.03654054883277589,0.20310557025243475
18,18,0.020584925871333464,0.0450872549793907,0.037713436491393866,0.23118791248923873
19,19,0.025527491589068304,0.027207477591113305,0.03632562404442453,0.20587895852331273
20,20,0.04652270231169739,0.027806196266311645,0.036493948604228915,0.14277464201305584
21,21,0.0637826791612497,0.02713670621997155,0.036798236276612314,0.11277786601699305
22,22,0.05460510144662985,0.01863013922025114,0.037710697191779746,0.12680160362290244
23,23,0.0033003069436621023,0.0038428151539824373,0.0406921116708114,0.5303674227321441
24,24,0.19553112621770138,0.5056492255469738,0.04215690479515786,0.046158674342816376
