layer_index,layer_name,cosine_anisotropy,isoscore,rogue_ratio,id_score,spearman_correlation
0,0 (Embed),0.5472617838727408,0.01313856263314452,0.09692533314228058,2197.2706999267357,0.44058101553734563
1,1,0.9102168586505778,0.007338668139547245,0.14667388796806335,1977.54346655464,0.3861194049490129
2,2,0.9394515802288962,0.0019987361066985832,0.31485581398010254,1977.5437835096945,0.3264021992643747
3,3,0.9398486264769348,0.001350796486545025,0.3799300193786621,2087.406854731988,0.3108204617573671
4,4,0.9262144590628749,0.002200892138092974,0.29865995049476624,2087.4067796105833,0.36959318750658743
5,5,0.9312931087507255,0.003518225522731928,0.22740139067173004,1867.6803912081616,0.4104807261044545
6,6,0.9150609063648951,0.007023031671541016,0.139639213681221,2087.406774573982,0.4549674466991667
7,7,0.998815063239933,1.4954069168374464e-06,0.996951699256897,1867.6794945300535,0.15969142136849457
8,8,0.9985852916578223,1.926382991897847e-06,0.9960784912109375,1867.6797740184734,0.16888249929805094
9,9,0.9981553868212182,3.002087645887416e-06,0.9939086437225342,1867.6805842156755,0.22564060127333277
10,10,0.9979816716333936,3.360633254859044e-06,0.9931883215904236,1757.8178130368744,0.23243438844836675
11,11,0.9977489183281827,3.5991175126440453e-06,0.9927102327346802,1977.5432437034385,0.24764333928550594
12,12,0.9973868775093419,4.069109222585533e-06,0.991769552230835,1977.5428300603758,0.2555753418374679
13,13,0.9968317403025243,4.646940572703656e-06,0.9906169772148132,1977.5424972874619,0.2562982325297138
14,14,0.9966865900220008,4.924576034087305e-06,0.9900646209716797,1867.679323353369,0.25426857421607624
15,15,0.996380963404218,5.3153095174401525e-06,0.9892886281013489,1867.679185134062,0.2502481988770923
16,16,0.9959902384091521,5.915203501061662e-06,0.9881000518798828,1867.6794713913168,0.2467224246633924
17,17,0.995933585670246,5.83573072788398e-06,0.988257110118866,1647.9639025167837,0.24995556008135159
18,18,0.9954337892441705,6.6030651812674305e-06,0.9867425560951233,1757.815899860847,0.24929049511032775
19,19,0.9948833631598514,7.332238881196275e-06,0.9853094220161438,1757.8160071852808,0.252609534009481
20,20,0.9939494874848313,8.753076227052925e-06,0.9825344085693359,1757.8220141147606,0.2540833414162045
21,21,0.993424584950251,9.99602826656974e-06,0.9801262617111206,1647.9530397439878,0.26174008636209684
22,22,0.9926985950097852,1.1685346490195684e-05,0.976881206035614,1538.091615534603,0.2738249248037235
23,23,0.9910989602009257,1.5758615072304145e-05,0.9691839218139648,1538.09024772665,0.2926201684451021
24,24,0.9876185737293085,2.5600462623118388e-05,0.9513033628463745,1647.9529141333644,0.3439099851251771
25,25,0.9820538435416438,4.330656624700219e-05,0.921449601650238,1757.816305495041,0.39901040405261023
26,26,0.9786141874075771,5.826794188323772e-05,0.8982803225517273,1647.9531999184364,0.42651805707590273
27,27,0.9736991746834721,8.227933102267204e-05,0.8644891977310181,1647.9534904755558,0.48643324909091396
28,28,0.9683013613549634,0.00011326125569561202,0.8259296417236328,1647.953382182856,0.5165969469172854
29,29,0.9641644590911178,0.00014849585391445315,0.7876250147819519,1867.6796348709831,0.5347883372257036
30,30,0.9564376218489494,0.00022352975098748195,0.7210798859596252,1867.6795501884303,0.610025543297807
31,31,0.9515406783668323,0.00031301024317401897,0.6596916913986206,1977.5426540371063,0.6334812524401087
32,32,0.9479793082958105,0.000417074353438434,0.6044981479644775,1977.5427442375192,0.6539505042518896
33,33,0.9463484846633217,0.0005097323230171489,0.564990222454071,1867.6798878580155,0.6593750290846383
34,34,0.9487247390708904,0.0006246917037367502,0.5251825451850891,1977.542996338281,0.668945750283024
35,35,0.9534864315931769,0.0029324747127645306,0.2506754696369171,2197.269055371791,0.7064717900629763
36,36,0.7567905074897678,0.0021227592596748733,0.310880184173584,1867.6791704646641,0.5908490753885075
