layer_index,layer_name,cosine_anisotropy,isoscore,rogue_ratio,id_score,spearman_correlation
0,0 (Embed),0.7511595234148141,0.05419971978803332,0.10645250231027603,15820.336446373076,0.484880397383362
1,1,0.9818303932125059,0.0008561824235066977,0.7738695740699768,9375.019269674112,0.44861960324142014
2,2,0.9915180711999066,0.002309978125181647,0.5852208733558655,9960.971896594936,0.38118348836829596
3,3,0.971879369440885,0.0031672455517465464,0.4665322005748749,9375.01724785223,0.3150608198979438
4,4,0.9596417218580909,0.0017382392143245342,0.6397262811660767,9960.965933428108,0.2739269855973751
5,5,0.9249601077890325,0.0031754830168654858,0.5022165775299072,9960.961564894342,0.28298890374036506
6,6,0.9678014456599637,0.0022661675637584947,0.5879473686218262,8789.080689270017,0.27857532744836183
7,7,0.8964080218973012,0.014757775588202822,0.22783668339252472,11132.830224070014,0.48732027129896954
8,8,0.9730149288664107,0.004269269347764991,0.4641791582107544,7617.205955832345,0.4501696566163486
9,9,0.9746289952150758,0.007450474485565885,0.3442089557647705,9375.020421391966,0.4576456746417094
10,10,0.9690651595443412,0.004417393412420276,0.4564622640609741,9960.955838139527,0.40917459249180704
11,11,0.9299954628574664,0.012310345306205093,0.2432253211736679,9960.955384537361,0.48721554329383704
12,12,0.9494931291138428,0.023673667225726846,0.1738775223493576,12304.708200205985,0.6599707751009374
13,13,0.966712341480341,0.006819577594169905,0.3855132460594177,11132.83486827522,0.6227308409567184
14,14,0.9562822740754228,0.007120532362470617,0.37512195110321045,9375.021346739259,0.630781650009136
15,15,0.9693483636044097,0.0037948317019223425,0.4961376488208771,10546.894712971194,0.6119326209860599
16,16,0.9717154939392915,0.004374835580019893,0.46561399102211,10546.90299079696,0.5854407602846387
17,17,0.9515009618151361,0.012291898293484892,0.2791846692562103,10546.894817672968,0.7044535009883578
18,18,0.9624884921708902,0.008866870874118611,0.34044793248176575,9960.95843124161,0.7418742750406884
19,19,0.9721502291673181,0.011509856164257572,0.29598841071128845,10546.89296379173,0.7582067152224172
20,20,0.9672327117958088,0.023063157589383588,0.18749773502349854,10546.89562280529,0.778878818791816
21,21,0.9646364062234364,0.032246549076872716,0.14172601699829102,11132.829463378706,0.7698718335956719
22,22,0.9721991294261633,0.022104025191012743,0.20038114488124847,9960.955413586587,0.7773668318753634
23,23,0.9926005559542467,0.0015604860438010659,0.6732414960861206,8203.196757642003,0.7553851778708911
24,24,0.5275471078091231,0.06488562200143536,0.08108146488666534,11718.786371795897,0.8570713569705644
