layer_index,layer_name,cosine_anisotropy,isoscore,rogue_ratio,id_score,spearman_correlation
0,0 (Embed),0.6043691162826896,0.05465332921004258,0.1027187705039978,12304.712168815742,0.5350519307732606
1,1,0.72972522800478,0.04310250651410465,0.12996906042099,12304.7088070804,0.5642213227504231
2,2,0.7464339097420414,0.03901520977150622,0.13847552239894867,11718.790630555928,0.5551030704561095
3,3,0.8445815596358666,0.03135890916489547,0.16060012578964233,11132.835667123732,0.5395383276506108
4,4,0.8592901611518955,0.029282278816519784,0.1683986335992813,11718.771628276343,0.5348912082513871
5,5,0.890100961926581,0.027425855831235184,0.17536109685897827,10546.89591333979,0.5228875029956828
6,6,0.8970335874037483,0.02374633641217467,0.18594880402088165,10546.89819125876,0.4782711651580193
7,7,0.8291170913139064,0.027985125626804913,0.17009010910987854,9960.958034086449,0.47832216886077766
8,8,0.80497413900508,0.0259504480277433,0.18260174989700317,9960.958863139605,0.45143915917131566
9,9,0.8666585952774055,0.023761070127112493,0.19076384603977203,9960.962140883717,0.4105533447414211
10,10,0.8877152852740152,0.02369889541802669,0.1888345628976822,12304.709679485017,0.4003439761214774
11,11,0.8843950769673472,0.024853199074931057,0.18451598286628723,12304.713163809918,0.42990436642218327
12,12,0.5228956794070864,0.03810261298288731,0.13928887248039246,10546.898425049958,0.5291092117710918
