layer_index,layer_name,cosine_anisotropy,isoscore,rogue_ratio,spearman_correlation
0,0 (Embed),0.6996629844336221,0.057081089341566554,0.10131781548261642,0.42093921630916575
1,1,0.9789278993668831,0.010170655899381605,0.2556355893611908,0.41009254481608104
2,2,0.9896650988855871,0.009819241363772272,0.26867085695266724,0.36533266650769647
3,3,0.9703110694279911,0.0035806892158754787,0.4770766794681549,0.3224333251962764
4,4,0.9452351844090243,0.004435170420873244,0.42531800270080566,0.2602821930529411
5,5,0.9058247877282858,0.005755890200501982,0.36053037643432617,0.2752069670654603
6,6,0.9559560463313482,0.006619434175983539,0.3608930706977844,0.270754274655682
7,7,0.8795445714258049,0.014091405209793356,0.23037207126617432,0.48156535038304416
8,8,0.967536063093961,0.014296187931428238,0.23181353509426117,0.4193179571885059
9,9,0.9711010578018537,0.012480274184890571,0.25385457277297974,0.4528352341991799
10,10,0.9656853234806829,0.013103617894102174,0.24992305040359497,0.42414369981009997
11,11,0.919753840793766,0.017616109038740245,0.20020267367362976,0.49223062891727376
12,12,0.9431033069602294,0.04334444134191236,0.1159399077296257,0.6372343939427798
13,13,0.9612699389933329,0.0400521892815703,0.12915921211242676,0.6110859242638073
14,14,0.9483170274984244,0.04026048241875941,0.12637437880039215,0.5955685684404465
15,15,0.9644749699444887,0.03858851355140327,0.12992970645427704,0.5833392015600926
16,16,0.9675309948615073,0.035862979171401965,0.1315215528011322,0.5681554712293833
17,17,0.9462084639189163,0.04418681015475759,0.12094919383525848,0.6862359590237976
18,18,0.9591538028782763,0.053716754602500076,0.1064722016453743,0.7160330295340531
19,19,0.9716577286040562,0.053640399715878834,0.10913213342428207,0.7401978697101049
20,20,0.9681262438566217,0.056054213707075175,0.0989457368850708,0.757960845726054
21,21,0.965707623703479,0.0547762562489855,0.1015249639749527,0.7575250571674225
22,22,0.9736555065847542,0.05202516099052551,0.10172285884618759,0.7626667853359057
23,23,0.9930577140637917,0.05714534281499355,0.10193917155265808,0.7473016795937174
24,24,0.5162301167743034,0.1139215602333855,0.05880619212985039,0.8561783353684636
